Parameter,Value,Units
Average annual daily flow per capita,423.5,L/person/day
Maximum day flow per capita,515.3,L/person/day
Average day BOD load per capita,82.8,g/person/day
Average day TSS load per capita,92.9,g/person/day
Average day Total P load per capita,2.7,g/person/day
Maximum month BOD load per capita (30-day avg),96.9,g/person/day
Maximum month TSS load per capita (30-day avg),119.9,g/person/day
Maximum month Total P load per capita (30-day avg),3.5,g/person/day
