Date [YYYY-MM-DD],HSW fraction to Digester 1 [-],HSW fraction to Digester 2 [-]
2022-05-06,0.49779091172365,0.50220908827635
2022-05-07,0.49993105606202837,0.5000689439379717
2022-05-08,0.5000530402681715,0.49994695973182834
2022-05-09,0.5043260410125412,0.4956739589874588
2022-05-10,0.4963088564169318,0.5036911435830682
2022-05-11,0.4944308408416377,0.5055691591583624
2022-05-12,0.4908621898059231,0.5091378101940769
2022-05-13,0.5037706700941741,0.49622932990582597
2022-05-14,0.4998198618234222,0.5001801381765778
2022-05-15,0.4997322801251126,0.5002677198748874
2022-05-16,0.5026213354845388,0.4973786645154612
2022-05-17,0.49932453380138314,0.5006754661986168
2022-05-18,0.501349519950821,0.498650480049179
2022-05-19,0.49025988802003945,0.5097401119799606
2022-05-20,0.5080228198811386,0.49197718011886155
2022-05-21,0.508456576743523,0.4915434232564771
2022-05-22,0.49991262248235835,0.5000873775176417
2022-05-23,0.5030229715659597,0.49697702843404035
2022-05-24,0.4877848066543158,0.5122151933456843
2022-05-25,0.4908926902528956,0.5091073097471045
2022-05-26,0.5039337163313028,0.49606628366869726
2022-05-27,0.5023850359977483,0.4976149640022517
2022-05-28,0.49996695578154865,0.5000330442184514
2022-05-29,0.5001942558415508,0.49980574415844936
2022-05-30,0.4998265915847941,0.500173408415206
2022-05-31,0.48954187408461763,0.5104581259153824
2022-06-01,0.4848246614476643,0.5151753385523358
2022-06-02,0.4905322236564082,0.5094677763435919
2022-06-03,0.49667983525258474,0.5033201647474154
2022-06-04,0.5004582903137446,0.49954170968625555
2022-06-05,0.49955024466162834,0.5004497553383717
2022-06-06,0.49306944474651476,0.5069305552534853
2022-06-07,0.5008133747143093,0.49918662528569074
2022-06-08,0.5337957061921372,0.46620429380786277
2022-06-09,0.45093371303305646,0.5490662869669436
2022-06-10,0.5001540264082885,0.49984597359171157
2022-06-11,0.5007988965488196,0.4992011034511804
2022-06-12,0.49956201914451265,0.5004379808554874
2022-06-13,0.49928628525750834,0.5007137147424917
2022-06-14,0.4964216787420508,0.5035783212579491
2022-06-15,0.5032112613333518,0.49678873866664813
2022-06-16,0.503169642460779,0.496830357539221
2022-06-17,0.49578572694530626,0.5042142730546938
2022-06-18,0.499514325542769,0.500485674457231
2022-06-19,0.5000234607292088,0.4999765392707911
2022-06-20,0.5085635369832299,0.49143646301677024
2022-06-21,0.5035718316929924,0.49642816830700764
2022-06-22,0.4996362770249148,0.5003637229750852
2022-06-23,0.49585502732954667,0.5041449726704533
2022-06-24,0.495630517953758,0.5043694820462421
2022-06-25,0.5026037582295745,0.4973962417704255
2022-06-26,0.49125147274028685,0.5087485272597132
2022-06-27,0.5609676577986438,0.4390323422013563
2022-06-28,0.5,0.5
2022-06-29,0.5,0.5
2022-06-30,0.5,0.5
2022-07-01,0.5,0.5
2022-07-02,0.5,0.5
2022-07-03,0.5,0.5
2022-07-04,0.5,0.5
2022-07-05,0.4945408066362437,0.5054591933637563
2022-07-06,0.5026995247986963,0.4973004752013037
2022-07-07,0.7793954599366645,0.22060454006333544
2022-07-08,1.0,0.0
2022-07-09,1.0,0.0
2022-07-10,1.0,0.0
2022-07-11,1.0,0.0
2022-07-12,1.0,0.0
2022-07-13,1.0,0.0
2022-07-14,1.0,0.0
2022-07-15,1.0,0.0
2022-07-16,1.0,0.0
2022-07-17,1.0,0.0
2022-07-18,1.0,0.0
2022-07-19,1.0,0.0
2022-07-20,1.0,0.0
2022-07-21,1.0,0.0
2022-07-22,1.0,0.0
2022-07-23,1.0,0.0
2022-07-24,1.0,0.0
2022-07-25,0.9849095571825691,0.015090442817430796
2022-07-26,1.0,0.0
2022-07-27,1.0,0.0
2022-07-28,1.0,0.0
2022-07-29,1.0,0.0
2022-07-30,1.0,0.0
2022-07-31,1.0,0.0
2022-08-01,1.0,0.0
2022-08-02,0.3000536526417658,0.6999463473582341
2022-08-03,0.0,1.0
2022-08-04,0.33463201290696365,0.6653679870930364
2022-08-05,1.0,0.0
2022-08-06,1.0,0.0
2022-08-07,1.0,0.0
2022-08-08,1.0,0.0
2022-08-09,1.0,0.0
2022-08-10,1.0,0.0
2022-08-11,1.0,0.0
2022-08-12,1.0,0.0
2022-08-13,1.0,0.0
2022-08-14,1.0,0.0
2022-08-15,1.0,0.0
2022-08-16,1.0,0.0
2022-08-17,1.0,0.0
2022-08-18,1.0,0.0
2022-08-19,1.0,0.0
2022-08-20,1.0,0.0
2022-08-21,1.0,0.0
2022-08-22,1.0,0.0
2022-08-23,1.0,0.0
2022-08-24,1.0,0.0
2022-08-25,1.0,0.0
2022-08-26,1.0,0.0
2022-08-27,1.0,0.0
2022-08-28,1.0,0.0
2022-08-29,1.0,0.0
2022-08-30,0.458330819216062,0.541669180783938
2022-08-31,0.5954260944222494,0.40457390557775064
2022-09-01,1.0,0.0
2022-09-02,1.0,0.0
2022-09-03,1.0,0.0
2022-09-04,1.0,0.0
2022-09-05,1.0,0.0
2022-09-06,1.0,0.0
2022-09-07,1.0,0.0
2022-09-08,1.0,0.0
2022-09-09,1.0,0.0
2022-09-10,1.0,0.0
2022-09-11,1.0,0.0
2022-09-12,1.0,0.0
2022-09-13,1.0,0.0
2022-09-14,1.0,0.0
2022-09-15,1.0,0.0
2022-09-16,1.0,0.0
2022-09-17,1.0,0.0
2022-09-18,1.0,0.0
2022-09-19,1.0,0.0
2022-09-20,1.0,0.0
2022-09-21,1.0,0.0
2022-09-22,1.0,0.0
2022-09-23,1.0,0.0
2022-09-24,1.0,0.0
2022-09-25,1.0,0.0
2022-09-26,1.0,0.0
2022-09-27,1.0,0.0
2022-09-28,1.0,0.0
2022-09-29,1.0,0.0
2022-09-30,0.40725716343311835,0.5927428365668815
2022-10-01,0.0,1.0
2022-10-02,0.0,1.0
2022-10-03,0.0,1.0
2022-10-04,0.0,1.0
2022-10-05,0.0,1.0
2022-10-06,0.0,1.0
2022-10-07,0.0,1.0
2022-10-08,0.0,1.0
2022-10-09,0.0,1.0
2022-10-10,0.0,1.0
2022-10-11,0.641410813588393,0.35858918641160703
2022-10-12,1.0,0.0
2022-10-13,0.4933450404376973,0.5066549595623028
2022-10-14,0.0,1.0
2022-10-15,0.0,1.0
2022-10-16,0.0,1.0
2022-10-17,0.0,1.0
2022-10-18,0.6176279811066584,0.38237201889334166
2022-10-19,1.0,0.0
2022-10-20,0.6934639245402003,0.3065360754597997
2022-10-21,0.5005883283564381,0.49941167164356204
2022-10-22,0.49789085712462516,0.5021091428753749
2022-10-23,0.5090665468766878,0.49093345312331227
2022-10-24,0.5290264910299141,0.47097350897008583
2022-10-25,0.5,0.5
2022-10-26,0.3321842642084334,0.6678157357915666
2022-10-27,0.5026350555291244,0.4973649444708756
2022-10-28,0.5001140832508119,0.4998859167491882
2022-10-29,0.4999111863286156,0.5000888136713845
2022-10-30,0.4997639735699958,0.5002360264300043
2022-10-31,0.4915851465056932,0.5084148534943068
2022-11-01,0.5067996238505954,0.4932003761494045
2022-11-02,0.5137238475781492,0.48627615242185096
2022-11-03,0.4985939102100841,0.501406089789916
2022-11-04,0.48968021267585504,0.510319787324145
2022-11-05,0.48712816276669535,0.5128718372333048
2022-11-06,0.4936621086500173,0.5063378913499827
2022-11-07,0.4965509515756571,0.5034490484243429
2022-11-08,0.5110978377899362,0.4889021622100638
2022-11-09,0.5002020067429301,0.4997979932570699
2022-11-10,0.5036822377607069,0.4963177622392931
2022-11-11,0.5002924603458178,0.49970753965418213
2022-11-12,0.49973127745139834,0.5002687225486018
2022-11-13,0.5002242146516978,0.49977578534830225
2022-11-14,0.5126360730039253,0.48736392699607456
2022-11-15,0.5050413652434463,0.4949586347565536
2022-11-16,0.4871338265271066,0.5128661734728934
2022-11-17,0.49641479443857134,0.5035852055614287
2022-11-18,0.501719616136239,0.498280383863761
2022-11-19,0.4998901497404622,0.5001098502595377
2022-11-20,0.49950419064397206,0.500495809356028
2022-11-21,0.48447545736156894,0.5155245426384311
2022-11-22,0.5020856863393927,0.49791431366060745
2022-11-23,0.5073962258357423,0.49260377416425777
2022-11-24,0.5000524051497616,0.4999475948502385
2022-11-25,0.5001360953085915,0.49986390469140857
2022-11-26,0.49749203558227684,0.502507964417723
2022-11-27,0.5095131763490072,0.49048682365099283
2022-11-28,0.5120453307342527,0.4879546692657474
2022-11-29,0.4915110213385354,0.5084889786614646
2022-11-30,0.4875658424385276,0.5124341575614724
2022-12-01,0.4993771844340072,0.5006228155659929
2022-12-02,0.4951681634141055,0.5048318365858944
2022-12-03,0.5019834646651627,0.49801653533483714
2022-12-04,0.5000942836797431,0.4999057163202568
2022-12-05,0.49906226367532136,0.5009377363246785
2022-12-06,0.5006347714344194,0.49936522856558063
2022-12-07,0.49879473438971134,0.5012052656102888
2022-12-08,0.49393445447813666,0.5060655455218632
2022-12-09,0.5123954427421245,0.4876045572578755
2022-12-10,0.4998394431394053,0.5001605568605946
2022-12-11,0.4998141578386495,0.5001858421613505
2022-12-12,0.5013027622796954,0.4986972377203045
2022-12-13,0.5065784722257214,0.49342152777427867
2022-12-14,0.4998940608538037,0.5001059391461964
2022-12-15,0.49813234469933576,0.5018676553006642
2022-12-16,0.48381638019588935,0.5161836198041106
2022-12-17,0.4862538748713452,0.5137461251286549
2022-12-18,0.496549771969084,0.503450228030916
2022-12-19,0.4833169994538749,0.5166830005461251
2022-12-20,0.49553756929264486,0.5044624307073551
2022-12-21,0.4986637802175146,0.5013362197824854
2022-12-22,0.5117245069373348,0.48827549306266527
2022-12-23,0.5095413963645705,0.4904586036354294
2022-12-24,0.5015572689459268,0.49844273105407333
2022-12-25,0.4613126548342214,0.5386873451657787
2022-12-26,0.5,0.5
2022-12-27,0.4971179903244722,0.5028820096755278
2022-12-28,0.5011750371448056,0.4988249628551945
2022-12-29,0.5073738831201365,0.4926261168798635
2022-12-30,0.4948026688737996,0.5051973311262005
2022-12-31,0.4998307872096282,0.5001692127903717
